,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
47,U.S. Government Pays Out Millions to Flu Shot Victims Killed or Paralyzed by Influenza Vaccine https://t.co/NdwGfFWJnc,FALSE,0,NA,3/3/2019 17:31,FALSE,NA,1102260202064230000,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",420lanie,0,FALSE,FALSE,NA,NA
48,#Salud #Yucatán es uno de los estados del país que menores índices presenta en cuanto a casos confirmados por el vi… https://t.co/zE80sbWlJq,FALSE,0,NA,3/3/2019 17:28,TRUE,NA,1102259492815860000,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",ActualYucatan,0,FALSE,FALSE,NA,NA
49,@kenjaques @LaughlandMorgan @MilanovNina @jkellyca @Awithonelison @Siubhan_H @Col_Sandurz @FreeBeeCee… https://t.co/kpkruEOQEi,FALSE,5,kenjaques,3/3/2019 17:27,TRUE,1.10226E+18,1102259171616010000,224691493,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SciencePharmer,0,FALSE,FALSE,NA,NA
50,"Día cuatro: la vacuna está funcionando, la influenza Betancourt ah diezmado el 70% de mi fin de semana, no sabemos… https://t.co/lyZR1TMWS5",FALSE,0,NA,3/3/2019 17:27,TRUE,NA,1102259141584670000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MarckVoltury,0,FALSE,FALSE,NA,NA
51,"RT @KayJayFIN: Okay I got diagnozed positive for seasonal influenza. It's extremely contagious. It's virus based, so antibiotics won't help…",FALSE,0,NA,3/3/2019 17:25,FALSE,NA,1102258677048920000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Chudlight,9,TRUE,FALSE,NA,NA
52,@DrLindseyFitz @London_darkside Another fantastic book on the 1918 pandemic    https://t.co/J3wa9jyf2Y https://t.co/JjMjOLImZa,FALSE,0,DrLindseyFitz,3/3/2019 17:24,FALSE,1.1022E+18,1102258558085880000,229509740,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sdfellis117,0,FALSE,FALSE,NA,NA
53,"My sick ass has been laying in bed doing nothing but jamming to gangster rap 

Fuck with me u know I got it
And by it I mean influenza A 
<U+0001F605>",FALSE,1,NA,3/3/2019 17:24,FALSE,NA,1102258443963030000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",KaylaYax,0,FALSE,FALSE,NA,NA
54,RT @NFIDvaccines: Senior Life: Did you know #influenza complications can include heart attack and stroke? https://t.co/cDzn7f21K6 #GetVacci…,FALSE,0,NA,3/3/2019 17:21,FALSE,NA,1102257600337490000,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",outlandtrophy,1,TRUE,FALSE,NA,NA
55,RT @profvrr: New episode of the #science #podcast This Week in Virology #TWiV 537: Boundary issues https://t.co/SFx9ax209a ribosomal protei…,FALSE,0,NA,3/3/2019 17:20,FALSE,NA,1102257389552740000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",marioph13,7,TRUE,FALSE,NA,NA
56,"I'm at La Puntada in San Nicolás de los Garza, Nuevo León https://t.co/vGJWhxtmtS",FALSE,0,NA,3/3/2019 17:19,FALSE,NA,1102257130642510000,NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>",mala_influenza,0,FALSE,FALSE,-100.2883874,25.74865999
57,"RT @welcomet0nature: ""Just two alpacas smiling for a photo..."" https://t.co/KFfyRr371S",FALSE,0,NA,3/3/2019 17:19,FALSE,NA,1102257103383740000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",El_Influenza,212,TRUE,FALSE,NA,NA
58,@El_Influenza History didn't start for most till 2008,FALSE,1,El_Influenza,3/3/2019 17:18,FALSE,1.10226E+18,1102257022211370000,1.0707E+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",stabyoulots,0,FALSE,FALSE,NA,NA
59,"My husband is ill &amp; spreading it around. I appear to be catching. I spent all of Nov, Dec and most of Jan trying to… https://t.co/1JcjeyTWQ9",FALSE,2,NA,3/3/2019 17:18,TRUE,NA,1102256989218860000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",pettydredful,0,FALSE,FALSE,NA,NA
60,"#FluSeason is upon us...make sure you know the complications associated with influenza, described in detail in the… https://t.co/1kJ3MDgcKZ",FALSE,0,NA,3/3/2019 17:15,TRUE,NA,1102256109237210000,NA,"<a href=""https://www.semrush.com/"" rel=""nofollow"">SEMrush Social Media Tool</a>",EBmedicine,0,FALSE,FALSE,NA,NA
